,movies,rating,year,country,genr,director,actor
180,猜火车,8.5,1996,英国,剧情 犯罪, 丹尼·博伊尔 Danny Boyle, 伊万·麦克格雷格 Ewan McGregor / ...
181,房间,8.8,2015,爱尔兰 加拿大 英国 美国,剧情 家庭, 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...
182,忠犬八公物语,9.1,1987,日本,剧情, Seijirô Kôyama, 山本圭 Kei Yamamoto / 井川比佐志 Hisa...
183,恐怖游轮,8.4,2009,英国 澳大利亚,剧情 悬疑 惊悚, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...
184,罗生门,8.7,1950,日本,犯罪 剧情 悬疑, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 千秋实 ...
185,完美陌生人,8.5,2016,意大利,剧情 喜剧, 保罗·格诺维瑟 Paolo Genovese, 马可·贾利尼 Marco Giallini ...
186,魔女宅急便,8.6,1989,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama / 佐久间玲 Re...
187,阿飞正传,8.5,1990,香港,犯罪 剧情 爱情, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 张曼玉 Maggie C...
188,香水,8.5,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻, 汤姆·提克威 Tom Tykwer, 本·卫肖 Ben Whishaw / 艾伦·瑞克...
189,哪吒闹海,8.9,1979,中国大陆,冒险 动画 奇幻, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang, 梁正晖 Zhenghui ...
190,浪潮,8.7,2008,德国,剧情 惊悚, 丹尼斯·甘塞尔 Dennis Gansel, 尤尔根·沃格尔 Jürgen Vogel ...
191,黑客帝国3：矩阵革命,8.6,2003,美国 澳大利亚,动作 科幻, Andy Wachowski / Larry Wachowski, 基努·里维斯 Keanu Reeves...
192,海街日记,8.7,2015,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase / 长泽雅美 M...
193,朗读者,8.5,2008,美国 德国,剧情 爱情, 史蒂芬·戴德利 Stephen Daldry, 凯特·温丝莱特 Kate Winslet ...
194,可可西里,8.7,2004,中国大陆 香港,剧情 犯罪, 陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...
195,谍影重重2,8.6,2004,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...
196,谍影重重,8.5,2002,美国 德国 捷克,动作 悬疑 惊悚, 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon / 弗兰卡·波坦...
197,战争之王,8.6,2005,美国 法国,剧情 犯罪, 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage /...
198,牯岭街少年杀人事件,8.8,1991,台湾,剧情 犯罪, 杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张...
