,movies,rating,year,country,genr,director,actor
63,黑客帝国,8.9,1999,美国 澳大利亚,动作 科幻, 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,None
64,小鞋子,9.2,1997,伊朗,剧情 儿童 家庭, 马基德·马基迪 Majid Majidi, 法拉赫阿米尔·哈什米安 Amir Fa...
65,西西里的美丽传说,8.8,2000,意大利 美国,剧情 战争 情色, 朱塞佩·托纳多雷 Giuseppe Tornatore, 莫妮卡·贝鲁奇 Monica ...
66,大闹天宫,9.3,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),中国大陆,动画 奇幻, 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang, 邱岳峰 Yuefeng Qiu /...
67,哈利·波特与魔法石,8.9,2001,美国 英国,奇幻 冒险, Chris Columbus, Daniel Radcliffe / Emma Watson / Rupert Grint
68,让子弹飞,8.7,2010,中国大陆 香港,剧情 喜剧 动作 西部, 姜文 Wen Jiang, 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
69,拯救大兵瑞恩,8.9,1998,美国,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...
70,致命魔术,8.8,2006,美国 英国,剧情 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan, 休·杰克曼 Hugh Jackman...
71,七宗罪,8.8,1995,美国,剧情 犯罪 悬疑 惊悚, 大卫·芬奇 David Fincher, 摩根·弗里曼 Morgan Freeman / 布...
72,被嫌弃的松子的一生,8.9,2006,日本,剧情 歌舞, 中岛哲也 Tetsuya Nakashima, 中谷美纪 Miki Nakatani / 瑛太 E...
73,音乐之声,9.0,1965,美国,剧情 传记 爱情 歌舞, 罗伯特·怀斯 Robert Wise, 朱莉·安德鲁斯 Julie Andrews / 克...
74,低俗小说,8.8,1994,美国,剧情 喜剧 犯罪, 昆汀·塔伦蒂诺 Quentin Tarantino, 约翰·特拉沃尔塔 John Tra...
75,沉默的羔羊,8.8,1991,美国,剧情 犯罪 惊悚, 乔纳森·戴米 Jonathan Demme, 朱迪·福斯特 Jodie Foster / 安...
76,天使爱美丽,8.7,2001,法国 德国,喜剧 爱情, 让-皮埃尔·热内 Jean-Pierre Jeunet, 奥黛丽·塔图 Audrey Tau...
77,猫鼠游戏,8.9,2002,美国 加拿大,传记 犯罪 剧情, 史蒂文·斯皮尔伯格 Steven Spielberg, 莱昂纳多·迪卡普里奥 L...
78,勇敢的心,8.9,1995,美国,动作 传记 剧情 历史 战争, 梅尔·吉布森 Mel Gibson, 梅尔·吉布森 Mel Gibson / 苏菲·玛...
79,蝴蝶效应,8.7,2004,美国 加拿大,剧情 悬疑 科幻 惊悚, 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,None
80,剪刀手爱德华,8.7,1990,美国,剧情 奇幻 爱情, 蒂姆·波顿 Tim Burton, 约翰尼·德普 Johnny Depp / 薇诺娜·...
81,春光乍泄,8.9,1997,香港 日本 韩国,剧情 爱情 同性, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
82,心灵捕手,8.8,1997,美国,剧情, 格斯·范·桑特 Gus Van Sant, 马特·达蒙 Matt Damon / 罗宾·...
83,禁闭岛,8.7,2010,美国,剧情 悬疑 惊悚, Martin Scorsese, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
84,布达佩斯大饭店,8.8,2014,美国 德国 英国,剧情 喜剧 冒险, 韦斯·安德森 Wes Anderson, 拉尔夫·费因斯 Ralph Fiennes / ...
85,穿条纹睡衣的男孩,9.0,2008,英国 美国,剧情 战争, 马克·赫尔曼 Mark Herman, 阿萨·巴特菲尔德 Asa Butterfield ...
86,入殓师,8.8,2008,日本,剧情, 泷田洋二郎 Yôjirô Takita, 本木雅弘 Masahiro Motoki / ...
87,阿凡达,8.7,2009,美国 英国,动作 战争 科幻 冒险, 詹姆斯·卡梅隆 James Cameron, 萨姆·沃辛顿 Sam Worthington ...
88,幽灵公主,8.8,1997,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 松田洋治 Yôji Matsuda / 石田百合...
89,阳光灿烂的日子,8.8,1994,中国大陆 香港,剧情 爱情, 姜文 Wen Jiang, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
90,致命ID,8.7,2003,美国,剧情 悬疑 惊悚, James Mangold, John Cusack / Ray Liotta / Amanda Peet
91,第六感,8.8,1999,美国,剧情 悬疑 惊悚, M·奈特·沙马兰 M. Night Shyamalan, 布鲁斯·威利斯 Bruce Wi...
92,加勒比海盗,8.7,2003,美国,动作 冒险 奇幻, 戈尔·维宾斯基 Gore Verbinski, 约翰尼·德普 Johnny Depp / ...
93,狩猎,9.1,2012,丹麦 瑞典,剧情, 托马斯·温特伯格 Thomas Vinterberg, 麦斯·米科尔森 Mads Mik...
94,断背山,8.7,2005,美国 加拿大,剧情 爱情 同性 家庭, 李安 Ang Lee, 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
95,玛丽和马克思,8.9,2009,澳大利亚,剧情 喜剧 动画, 亚当·艾略特 Adam Elliot, 托妮·科莱特 Toni Collette / 菲利...
96,重庆森林,8.7,1994,香港,剧情 爱情, 王家卫 Kar Wai Wong, 林青霞 Brigitte Lin / 金城武 Takeshi K...
97,摩登时代,9.2,1936,美国,剧情 喜剧 爱情, 查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ...
98,喜剧之王,8.7,1999,香港,喜剧 剧情 爱情, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee, 周星驰 Stephen Ch...
99,告白,8.7,2010,日本,剧情 惊悚, 中岛哲也 Tetsuya Nakashima, 松隆子 Takako Matsu / 冈田将生 ...
100,大鱼,8.8,2003,美国,剧情 家庭 奇幻 冒险, 蒂姆·波顿 Tim Burton, 伊万·麦克格雷格 Ewan McGregor / 阿...
101,消失的爱人,8.7,2014,美国,剧情 犯罪 悬疑 惊悚, 大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck / 罗莎蒙...
102,一一,9.0,2000,台湾 日本,剧情 爱情 家庭, 杨德昌 Edward Yang, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
103,射雕英雄传之东成西就,8.7,1993,香港,喜剧 奇幻 武侠 古装, 刘镇伟 Jeffrey Lau, 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
104,阳光姐妹淘,8.8,2011,韩国,剧情 喜剧, 姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
105,甜蜜蜜,8.8,1996,香港,剧情 爱情, 陈可辛 Peter Chan, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
106,爱在黎明破晓前,8.8,1995,美国 奥地利 瑞士,剧情 爱情, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...
107,小森林 夏秋篇,9.0,2014,日本,剧情, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
108,驯龙高手,8.7,2010,美国,动画 奇幻 冒险, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...
109,侧耳倾听,8.8,1995,日本,剧情 爱情 动画, 近藤喜文 Yoshifumi Kondo, 本名阳子 Youko Honna / 小林桂树 K...
110,请以你的名字呼唤我,8.8,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性, 卢卡·瓜达尼诺 Luca Guadagnino, 艾米·汉莫 Armie Hammer / ...
111,红辣椒,8.9,2006,日本,动画 悬疑 科幻 惊悚, 今敏 Satoshi Kon, 林原惠美 Megumi Hayashibara / 江守彻 Toru...
112,倩女幽魂,8.7,1987,香港,爱情 奇幻 武侠 古装, 程小东 Siu-Tung Ching, 张国荣 Leslie Cheung / 王祖贤 Joey W...
113,恐怖直播,8.7,2013,韩国,剧情 犯罪 悬疑, 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
114,风之谷,8.8,1984,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto / 松田洋治 Y...
115,超脱,8.8,2011,美国,剧情, 托尼·凯耶 Tony Kaye, 艾德里安·布洛迪 Adrien Brody / 马西...
116,上帝之城,8.9,2002,巴西 法国,犯罪 剧情, Kátia Lund / Fernando Meirelles, Alexandre Rodrigues / Lea...
117,爱在日落黄昏时,8.8,2004,美国,剧情 爱情, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...
118,菊次郎的夏天,8.8,1999,日本,剧情 喜剧, 北野武 Takeshi Kitano, 北野武 Takeshi Kitano / 关口雄介 Yus...
119,幸福终点站,8.7,2004,美国,喜剧 剧情 爱情, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...
120,哈利·波特与死亡圣器(下),8.7,2011,美国 英国,剧情 悬疑 奇幻 冒险, 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe...
121,小森林 冬春篇,9.0,2015,日本,剧情, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
122,杀人回忆,8.7,2003,韩国,犯罪 剧情 悬疑 惊悚, 奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
123,7号房的礼物,8.8,2013,韩国,剧情 喜剧 家庭, 李焕庆 Hwan-kyeong Lee, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
124,神偷奶爸,8.5,2010,美国 法国,喜剧 动画 冒险, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud, ...
125,借东西的小人阿莉埃蒂,8.7,2010,日本,动画 奇幻 冒险, 米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida / 神木...
126,萤火之森,8.8,2011,日本,剧情 爱情 动画 奇幻, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura / 内山昂辉 K...
127,唐伯虎点秋香,8.5,1993,香港,喜剧 爱情 古装, 李力持 Lik-Chi Lee, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
128,蝙蝠侠：黑暗骑士崛起,8.7,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...
129,超能陆战队,8.6,2014,美国,喜剧 动作 科幻 动画 冒险, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams, 斯科特...
130,怪兽电力公司,8.6,2001,美国,儿童 喜剧 动画 奇幻 冒险, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman, 约...
131,岁月神偷,8.7,2010,香港 中国大陆,剧情 家庭, 罗启锐 Alex Law, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...
132,电锯惊魂,8.7,2004,美国,悬疑 惊悚 恐怖, 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell / 加利·艾...
133,七武士,9.2,1954,日本,动作 冒险 剧情, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 志村乔 ...
134,谍影重重3,8.7,2007,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...
135,真爱至上,8.6,2003,英国 美国 法国,喜剧 剧情 爱情, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant / 柯林...
136,无人知晓,9.1,2004,日本,剧情, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira / 北浦爱...
137,疯狂原始人,8.7,2013,美国,喜剧 动画 冒险, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,None
138,喜宴,8.9,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭, 李安 Ang Lee, 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...
