代码,名称,涨幅%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,短期形态,中期形态,长期形态,市盈(TTM),最高,最低,昨收,市盈(动),总金额,量比,细分行业,地区,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,开盘换手Z,封成比,封单额,流通股(亿),流通市值,AB股总市值,强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,市盈(静),贝塔系数,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
600313,农发种业,10.14,3.91,0.36,3.91,--  ,2191583,4530,0,21.5,3.54,,,,211.28,3.91,3.52,3.55,232.7,839239360,1.93,种植业,北京,10.99,3.83,1081328,1110255,0.97,16382,0,--  ,6583300,0.3,0.01,6405362,10.19,         39.86亿,         42.31亿,11.04,4409,497,0.0049,1,14.32,27.37,43.74,38.66,35.84,         23.91亿,211.28,1.15,-0.28,10.14,-0.85,7.87,10.45,0,11.08,2.27,20200325,20010119,10.82,--  ,--  ,30.88,14.4,6.75,31.5,18.41,6.44,2.99,8.11,4.1,2.26,4.2,51.36,48.5,0.53,0.14,0.54,0.45,0.18,-0.15,-0.77,0.4,-1.7,76232,8021,3.14万,-42.64,49.02,2.94,105.17,0.82,0,0.017㈣,1.33,0,0.39,-0.07,0.04,46.63,   1.26㈣,5.57,1.02,0.35,0.34,1098,600313,--  ,--  ,--  
600361,华联综超,10.1,4.36,0.4,4.36,--  ,472217,2822,0,7.09,3.86,,,,33.79,4.36,3.86,3.96,34.9,201765664,1.33,超市连锁,北京,12.63,4.27,322544,149673,2.15,51950,0,--  ,2463100,0.21,0.11,22650200,6.66,         29.03亿,         29.03亿,11,1782,265,0.004,2,8.47,21.11,15.34,15.34,15.75,         13.07亿,31.61,1.33,-2.53,10.1,-2.53,7.9,12.95,0,12.95,2.2,20191025,20011129,6.66,--  ,--  ,99.09,27.31,0.03,72.4,63.56,6.31,1.58,70.88,11.37,0.79,16.86,92.88,72.5,0.65,0.66,0.7,0.62,0.62,0.54,2.33,6.54,-1.3,29445,10180,4.44万,-7.92,0.46,1.06,4.44,0.31,1.77,0.094㈢,4.1,0,2.53,0.35,0.98,27.57,   2.28㈢,21.94,0.7,0.67,--  ,17210,600361,--  ,--  ,--  
000678,襄阳轴承,10.08,6.99,0.64,6.99,--  ,157575,2633,0,3.43,6.25,,,,--  ,6.99,6.25,6.35,--  ,106184568,1.94,机械基件,湖北,11.65,6.74,68004,89571,0.76,512,0,--  ,143800,0.01,0,357888,4.6,         32.13亿,         32.13亿,12.11,2117,74,0.0016,5,11.66,20.51,-1.55,0.72,6.35,         17.34亿,--  ,0.69,-1.57,10.08,-1.57,6.12,11.84,0,11.84,3.96,20191031,19970106,4.6,--  ,--  ,26.03,11.55,0.67,53.05,9.85,11.47,3.2,11.01,5.32,2.3,7.7,9.56,8.55,-0.22,0,-0.21,-0.23,-0.24,-0.31,-1.42,-0.55,-1.01,25898,9578,6.70万,-27.17,-18.44,2.78,-58.63,3.36,0,-0.052㈢,2.51,0,1.68,-0.31,-0.12,44.39,  -2.08㈢,10.6,-2.27,-2.52,0.25,4464,678,--  ,--  ,--  
002571,德力股份,10.07,5.9,0.54,5.9,--  ,495739,1297,0,17.44,5.9,,,,--  ,5.9,5.58,5.36,39.35,289679968,5.79,玻璃,安徽,5.97,5.84,233367,262372,0.89,38288,0,--  ,81331496,6.72,0.08,22589920,2.84,         16.77亿,         23.13亿,12.1,996,498,0.0175,5,25,8.65,20.91,15.46,24.16,         12.10亿,--  ,0.81,10.07,10.07,4.1,9.02,0,0,5.73,1.06,20191223,20110412,3.92,--  ,--  ,18.81,14.6,0.23,21.19,7.06,5,0.66,3.84,3.26,1.45,9.08,6.05,4.73,0.47,0.13,0.51,0.44,0.44,0.2,0.7,0.46,-0.08,21354,9607,5.67万,205.09,6.43,1.58,50.7,3.82,0,0.112㈢,3.72,0,2.32,0.18,0.12,77.59,   3.02㈢,21.9,7.8,7.28,0.02,2203,2571,--  ,--  ,--  
600366,宁波韵升,10.05,6.02,0.55,6.02,--  ,408606,800,0,4.13,5.5,,,,76.29,6.02,5.5,5.47,95.32,237954896,1.68,电器仪表,浙江,9.51,5.82,213889,194717,1.1,62333,0,--  ,4292200,0.12,0.15,37524464,9.89,         59.54亿,         59.54亿,10.96,2363,173,0.0017,1,12.31,1.69,-9.06,-9.61,6.16,         39.93亿,60.57,1.32,0.55,10.05,0.55,6.46,9.45,0,9.45,3.59,20191022,20001030,9.89,--  ,--  ,57.24,42.57,0.7,24.4,34.21,11.53,1.25,13.76,7.88,5.49,1.47,13.47,11.05,0.59,0.34,0.59,0.44,0.47,0.24,29.22,0.95,-2.22,87619,7571,4.56万,-28.21,-12.35,1.4,62.49,4.42,1.8,0.047㈢,4.3,0,0.15,2.95,0.1,74.37,   1.10㈢,17.96,4.38,3.48,1.03,3418,600366,--  ,--  ,--  
002706,良信电器,10.05,11.83,1.08,11.83,--  ,203111,639,0,3.45,10.7,,,,33.06,11.83,10.56,10.75,34.01,231063744,2.14,电气设备,上海,11.81,11.38,70694,132417,0.53,18946,0,--  ,895600,0.02,0.09,22413118,5.88,         69.60亿,         92.87亿,12.07,3753,54,0.0009,2,10.04,13.96,38.69,40.84,4.1,         58.59亿,38.02,1.13,-0.47,10.05,-1.77,5.83,10.56,0,12.03,4.22,20200328,20140121,7.85,--  ,--  ,23.3,18.07,--  ,22.45,12.38,6.72,1.02,5.14,2.69,1.45,3.85,20.39,12.07,2.87,0.07,3.14,2.73,2.73,2.4,6.05,3.31,1.33,12508,39593,46.84万,23.03,29.53,5.14,28.03,4.56,2.28,0.348㈣,2.3,0,0.49,0.77,0.42,77.55,  15.12㈣,40.78,14.06,13.4,1.76,1973,2706,--  ,--  ,--  
002227,奥 特 迅,10.03,16.12,1.47,16.12,--  ,203243,891,0,9.23,15.23,,,,247.14,16.12,14.78,14.65,--  ,315828416,1.59,电气设备,深圳,9.15,15.54,102797,100446,1.02,7770,0,--  ,6856500,0.59,0.04,12525241,2.2,         35.51亿,         35.56亿,12.06,3395,60,0.0027,1,4.89,40.41,42.41,45.49,26.55,         12.34亿,310.69,0.93,3.96,10.03,0.89,6.07,5.84,0,9.07,3.96,20191029,20080506,2.21,--  ,--  ,12.37,8.01,0.02,35.1,5.46,2,0.3,2.08,2.31,2.12,3.16,2.07,1.4,-0.09,0,-0.1,-0.07,-0.07,-0.11,2,0.15,-0.22,26773,2859,4.61万,27.1,3.57,4.44,232.48,17.15,0.14,-0.033㈢,3.63,0,1.43,0.91,0.07,64.73,  -0.90㈢,32.55,-4.27,-3.47,0.22,614,2227,--  ,--  ,--  
603997,继峰股份,10.03,7.46,0.68,7.46,--  ,47816,132,0,0.76,7.46,,,,26.67,7.46,7.37,6.78,30.08,35664012,1.88,汽车配件,浙江,1.33,7.46,32655,15161,2.15,52449,0,--  ,8959500,0.78,1.1,39126956,6.32,         47.17亿,         76.36亿,10.93,642,74,0.0012,2,9.7,-11.2,-11.4,-7.67,3.12,         11.42亿,22.95,1.17,10.03,10.03,8.7,10.01,0,0,1.22,0.02,20191212,20150302,10.24,--  ,--  ,24.83,18.84,0.28,23.02,17.07,5.02,1.1,5.1,4.03,4.88,2.69,15.39,10.14,2.34,0,2.34,1.89,1.9,1.81,8.54,1.79,-0.87,18469,8286,6.18万,-18.12,-1.58,2.53,42.7,4.96,2.87,0.300㈢,2.95,2.95,0.26,0.83,0.17,75.87,  10.11㈢,34.07,15.24,12.37,0.5,3040,603997,--  ,--  ,--  
300106,西部牧业,10.03,7.46,0.68,7.46,--  ,295198,156,0,13.97,6.59,,,,--  ,7.46,6.55,6.78,952.63,213933488,1.81,农业综合,新疆,13.42,7.25,161753,133445,1.21,3832,0,--  ,4959000,0.61,0.01,2858672,2.11,         15.77亿,         15.77亿,12.06,2319,127,0.006,2,17.11,33.7,14.6,10.03,24.01,          9.17亿,72.7,0.77,-2.8,10.03,-3.39,6.89,13.2,0,13.89,3.14,20200323,20100820,2.11,--  ,--  ,11.23,6.38,0.66,37.3,5.03,4.15,0.7,3.76,1.35,1.4,6.21,5.25,4.5,0.01,0,0.05,0.04,0.01,-0.02,-2.16,1.06,-0.14,14700,8364,6.24万,-94.6,-1.59,2.71,14.89,3,0,0.006㈢,2.75,2.75,2.94,-1.02,0.5,56.78,   0.19㈢,14.26,0.25,0.24,0.02,658,300106,--  ,--  ,--  
600685,中船防务,10.02,13.61,1.24,13.61,--  ,240127,983,0,2.92,12.28,,,,--  ,13.61,11.97,12.37,35.09,318598560,7.25,船舶,广东,13.26,13.27,147252,92875,1.59,3719,0,--  ,316800,0.01,0.02,5061559,8.21,        111.80亿,        111.80亿,10.93,3665,66,0.0008,2,10.65,1.64,-7.35,-7.73,7.51,         43.51亿,--  ,0.96,-0.73,10.02,-3.23,7.26,10.83,0,13.7,2.77,20200328,19931028,14.14,--  ,5.92,523.04,101.48,53.99,70.27,332.35,114.4,20.73,294.11,43.45,23.5,94.19,218.29,209.59,-12.99,0.32,9.91,9.29,5.48,-10.17,-16.05,37.36,21.42,73736,4336,5.90万,129.34,13.61,1.9,5.15,0.88,0,0.388㈣,7.18,0,6.66,-1.14,2.64,19.4,   5.40㈣,3.98,-5.95,2.51,5.58,15832,600685,--  ,--  ,--  
300265,通光线缆,10.02,14.27,1.3,14.27,--  ,554546,232,0,16.47,12.52,,,,107.38,14.27,12.44,12.97,105.64,753166144,1.15,电气设备,江苏,14.11,13.58,282680,271866,1.04,10333,0,--  ,10946200,0.8,0.02,14745191,3.37,         48.06亿,         48.16亿,12.05,3921,141,0.0042,1,1.93,93.62,86.05,85.32,50.85,         15.56亿,117.3,0.45,-3.47,10.02,-4.09,4.72,13.98,0,14.71,5.31,20191029,20110916,3.38,--  ,--  ,21.3,10.25,0.4,50,14.15,3.29,1.15,9.7,2.18,8.52,1.96,10.3,7.68,0.45,-0.04,0.43,0.35,0.34,0.33,4.52,1.01,-0.85,21196,5145,7.34万,11.21,-11.03,4.7,47.75,4.68,0.12,0.101㈢,3.04,0,0.58,1.34,0.3,48.11,   3.34㈢,25.39,4.34,3.32,0.39,1279,300265,--  ,--  ,--  
603458,勘设股份,10.02,19,1.73,19,--  ,76286,425,0,6.14,17.72,,,,8.54,19,17.63,17.27,10.93,141412224,4.3,建筑工程,贵州,7.93,18.54,38017,38269,0.99,16612,0,--  ,3586500,0.16,0.22,31562800,1.24,         23.62亿,         35.32亿,10.92,1465,52,0.0042,2,9.64,3.54,0.63,-0.47,6.14,         23.62亿,9.1,1.19,2.61,10.02,2.08,7.34,7.22,0,7.77,2.68,20200328,20170809,1.86,--  ,--  ,46.99,24.23,0.08,48.26,39.66,4.32,0.35,22.39,2.43,26.49,8.07,16.2,9.83,2.93,-0.02,2.9,2.43,2.42,2.16,13.23,-4.68,-2.1,19199,6474,12.30万,10.57,13.31,1.34,-7.55,2.18,3.3,1.340㈢,14.14,14.14,4.34,7.12,-2.52,51.56,  10.00㈢,39.31,18.11,14.96,0.71,2943,603458,--  ,--  ,--  
000505,京粮控股,10.02,7.03,0.64,7.03,--  ,760596,168,0,18.73,6.15,,,,29.01,7.03,6.15,6.39,36.16,525653856,2,食品,海南,13.77,6.91,418452,342144,1.22,15856,0,--  ,8361500,0.48,0.02,11146768,4.06,         28.55亿,         48.21亿,12.04,2439,312,0.0077,1,17.17,26.44,28.75,27.82,26.92,         19.86亿,26.09,0.87,-3.76,10.02,-3.76,8.15,14.31,0,14.31,1.86,20200328,19921221,6.86,0.65,--  ,52.31,24.06,5.85,42.82,30.19,12.1,3.68,21.1,14.13,0.81,15.96,74.4,68.14,2.51,0.2,2.6,1.79,1.33,1.04,0.02,2.97,-3.12,37551,9255,6.51万,-20.61,0.42,2,16.21,0.65,0,0.194㈣,3.51,0,2.33,0,0.43,45.99,   5.54㈣,8.42,3.37,1.79,0.07,2990,505,--  ,--  ,--  
002205,国统股份,10.01,14.83,1.35,14.83,--  ,203382,1257,0,17.51,13.4,,,,161.13,14.83,12.86,13.48,775.59,281225696,5.17,其他建材,新疆,14.61,13.83,96611,106771,0.9,8848,0,--  ,6186800,0.57,0.04,13121584,1.16,         17.23亿,         17.23亿,12.04,3511,58,0.005,2,21.06,9.44,-0.4,3.35,25.09,         12.02亿,467.96,0.85,-0.59,10.01,-4.6,2.58,10.67,0,15.32,7.44,20200323,20080123,1.16,--  ,--  ,34.46,9.37,1.46,68.56,11.99,5.22,1.23,10.89,1.8,4.05,5.22,4.16,3.25,-0.2,0,0.1,0.08,0.02,-0.17,2.63,0.89,0.52,15988,5070,7.52万,135.4,5.54,1.84,19.39,4.14,0,0.014㈢,8.07,0,4.5,2.26,0.76,27.2,   0.18㈢,21.87,-4.87,0.4,0.06,1120,2205,--  ,--  ,--  
603949,雪龙集团,10.01,24.61,2.24,24.61,--  ,132292,272,0,35.31,22.96,,,,33.56,24.61,22.61,22.37,36.92,317523424,1.07,汽车配件,浙江,8.94,24,56655,75637,0.75,14658,0,--  ,8258700,0.96,0.11,36073340,0.37,          9.22亿,         36.88亿,10.91,1945,68,0.0182,1,-0.05,94.39,94.39,94.39,35.31,          9.22亿,33.56,0,2.64,10.01,1.07,7.29,7.19,0,8.85,2.72,20200313,20200310,1.5,--  ,--  ,5.03,4.29,--  ,14.73,2.73,1.43,0.14,0.47,0.59,1.24,0.21,3.65,1.72,1.19,0,1.17,1,1,0.95,2.38,0.9,-0.07,40466,926,2.28万,9.3,14.42,4.29,40.8,10.1,0,0.667㈣,5.74,5.74,0.14,1.59,0.6,85.27,  23.29㈣,52.87,32.47,27.34,0.14,394,603949,--  ,--  ,--  
600107,美尔雅,10.01,9.34,0.85,9.34,--  ,292808,1084,0,8.13,8.3,,,,56.75,9.34,8.12,8.49,60.92,260263904,1.05,服饰,湖北,14.37,8.89,126585,166223,0.76,9867,0,--  ,4217200,0.18,0.03,9215778,3.6,         33.62亿,         33.62亿,10.91,3294,89,0.0025,7,21.92,58.85,33.43,37.15,10.22,         26.77亿,355.19,1,-2.24,10.01,-4.36,4.69,12.53,0,15.02,5.32,20191031,19971106,3.6,--  ,--  ,10.63,6.09,0.37,39.21,6.21,1.49,0.31,3.76,2.48,0.61,1.79,3.18,2.04,0.45,0.54,0.45,0.41,0.41,-0.08,0.45,-0.03,-1.21,29525,9707,9.07万,1172.79,2.86,5.52,-967.65,10.56,0,0.115㈢,1.69,0,0.5,0.13,-0.01,57.3,   6.79㈢,36.01,14.14,13,--  ,3096,600107,--  ,--  ,--  
603018,中设集团,10.01,13.3,1.21,13.3,--  ,362072,866,0,7.87,12.1,,,,10.84,13.3,12.08,12.09,11.92,469581664,3.07,建筑工程,江苏,10.09,12.97,184179,177893,1.04,2706,0,--  ,2352200,0.04,0.01,3598980,4.6,         61.18亿,         61.76亿,10.91,3642,99,0.0022,5,16.36,12.43,31.16,29.25,7.87,         61.18亿,10.84,1,0.08,10.01,-0.08,7.27,9.92,0,10.1,2.74,20200326,20141013,4.64,--  ,--  ,80.74,28.68,0.64,63.69,69.88,3.89,0.49,51.31,6.34,45.33,6.68,46.88,32.25,6.17,0.32,6.16,5.33,5.18,4.63,16.21,4.04,4.02,17218,26715,35.53万,30.74,11.67,2.15,15.28,1.32,2.07,1.160㈣,6.18,0,1.44,3.49,0.87,35.51,  18.06㈣,31.21,13.16,11.05,1.91,4520,603018,--  ,--  ,--  
002852,道道全,10.01,14.07,1.28,14.07,--  ,154428,334,0,7.48,12.56,,,,27.61,14.07,12.56,12.79,24,212013392,4.18,食品,湖南,11.81,13.73,70683,83745,0.84,1418,0,--  ,459400,0.04,0.01,1995126,2.06,         29.03亿,         40.66亿,12.04,2916,53,0.0026,1,12.83,10.27,5.55,4.38,14.83,         14.65亿,16.84,0.79,-1.8,10.01,-1.8,7.34,12.02,0,12.02,2.67,20200309,20170310,2.89,--  ,--  ,24.86,20.24,0.64,16.02,15.51,7.9,1.02,3.19,6,0.4,10.27,27.9,25.18,1.73,1.08,1.74,1.26,1.27,0.08,7.59,-3.51,-0.18,20116,5177,7.28万,-40.27,11.28,2.01,-11.59,1.46,3.13,0.440㈢,7,0,3.55,2.63,-1.21,81.42,   6.28㈢,9.76,6.22,4.55,0.03,700,2852,--  ,--  ,--  
603867,新化股份,10,32.34,2.94,32.34,--  ,96709,40,0,27.63,30.5,,,,26.54,32.34,30.01,29.4,31.64,308202848,0.92,化工原料,浙江,7.93,31.87,50229,46480,1.08,5949,0,--  ,10903800,1.02,0.06,19239066,0.35,         11.32亿,         45.28亿,10.9,1405,69,0.0197,1,16.75,47.68,32.17,34.97,27.63,         11.32亿,23.58,0.73,3.74,10,2.07,8.4,6.03,0,7.76,1.6,20191029,20190627,1.4,--  ,--  ,20.87,13.41,0.8,31.9,12.49,6.02,1.26,5.81,2.17,1.1,4.98,13.22,10.19,1.26,0,1.27,1.12,1.07,0.99,6.05,2.13,-0.41,19736,1773,5.74万,0,0,3.38,21.27,3.42,0.85,0.920㈢,9.58,0,3.56,4.32,1.52,64.26,   8.00㈢,22.96,9.52,8.12,0.44,850,603867,--  ,--  ,--  
601179,中国西电,10,5.17,0.47,5.17,--  ,1816642,3638,0,3.54,4.58,,,,39.58,5.17,4.52,4.7,68.35,901813888,1.65,电气设备,陕西,13.83,4.96,952763,863879,1.1,87827,0,--  ,3980500,0.05,0.05,45406560,51.26,        265.01亿,        265.01亿,10.9,4073,446,0.0009,2,10.71,48.14,44.81,42.03,10.71,         87.67亿,42.33,0.5,-2.55,10,-3.83,5.62,12.88,0,14.38,4.38,20191031,20100128,51.26,--  ,--  ,358.78,197.21,10.5,42.11,270.05,48.72,19.09,134.51,47.35,110.6,115.65,95.72,75.75,3.34,0.14,3.58,2.81,2.91,2.06,24.99,-8.63,-33.47,136713,12403,6.41万,15.72,15.86,1.34,-30.71,2.77,0.72,0.057㈢,3.85,0,2.26,0.49,-0.17,54.97,   1.47㈢,20.86,3.48,3.04,3.52,14537,601179,--  ,--  ,--  
600983,惠而浦,10,5.72,0.52,5.72,--  ,253678,168,0,4.76,5.72,,,,--  ,5.72,5.57,5.2,--  ,144917776,9.44,家用电器,安徽,2.88,5.71,218319,35359,6.17,125743,0,--  ,7181500,0.35,0.5,71924992,5.33,         30.48亿,         43.84亿,10.9,1017,249,0.0047,5,33.03,29.41,16.03,16.03,7.17,         20.25亿,15.22,1.01,10,10,7.12,9.86,0,0,2.69,0.14,20191030,20040727,7.66,--  ,--  ,75.04,40.08,--  ,46.59,53.62,14.26,2.82,34.1,6.38,14.68,12.39,40.87,32.02,-0.74,0.17,-0.73,-0.69,-0.69,-0.9,17.26,-6.42,-12.11,22674,15610,8.93万,-119.53,-11.93,1.09,-6.82,1.07,0.96,-0.090㈢,5.23,0,1.62,2.25,-0.84,53.41,  -1.73㈢,21.65,-1.8,-1.69,0.99,8947,600983,--  ,--  ,--  
600855,航天长峰,10,17.71,1.61,17.71,--  ,742804,123,0,21.79,17.01,,,,127.79,17.71,16.2,16.1,--  ,1300441216,2.47,专用机械,北京,9.38,17.51,453439,289365,1.57,20771,0,--  ,80379000,2.17,0.03,36785440,3.41,         60.38亿,         77.85亿,10.9,2851,261,0.0076,4,30.22,54,45.4,44.1,34.11,         38.57亿,93.28,1.1,5.65,10,0.62,8.74,4.12,0,9.32,1.26,20191226,19940425,4.4,--  ,--  ,25.92,11.57,2.03,47.52,21.29,1.18,0.46,12.17,4.09,10.35,4.75,11.76,9.33,0.17,-0.01,0.18,0.1,-0.11,-0.21,3.01,-2.68,-2.7,47657,4570,8.09万,-205.56,30.54,5.39,-29.02,6.62,0.32,-0.030㈢,3.29,3.29,1.08,0.69,-0.61,44.65,  -0.91㈢,20.67,1.48,-0.89,0.25,1738,600855,--  ,--  ,--  
300820,英杰电气,10,172.7,15.7,172.7,--  ,23402,21,0,14.77,158,,,,92.81,172.7,152.7,157,93.62,380265376,0.81,电气设备,四川,12.74,162.49,14153,9249,1.53,7027,0,--  ,4218600,0.17,0.3,121356288,0.16,         27.36亿,        109.39亿,12.03,2244,10,0.0066,1,14.6,90.74,413.07,413.07,14.77,         27.36亿,87.81,0,0.64,10,-2.74,3.5,9.3,0,13.1,6.5,20200212,20200213,0.63,--  ,--  ,7.68,5.08,--  ,33.79,7.05,0,0,2.56,0,0,0,3.37,0,1.02,0,1.02,1.02,0.88,0.87,0,0.62,0.58,31703,500,8.63万,0,0,15.43,177.07,32.45,0,1.384㈢,11.19,11.19,0,0,0.98,66.21,  17.24㈢,--  ,30.15,25.99,--  ,433,300820,--  ,--  ,--  
000639,西王食品,10,5.72,0.52,5.72,--  ,598661,4287,0,5.56,5.12,,,,11.91,5.72,5.09,5.2,13.92,331038784,2.36,食品,山东,12.12,5.53,257943,340718,0.76,14018,0,--  ,2155000,0.08,0.02,8018296,10.76,         61.57亿,         61.74亿,12.03,3476,172,0.0016,1,13.04,15.79,29.12,26.27,11.7,         29.27亿,11.98,1.09,-1.54,10,-2.12,6.34,11.72,0,12.38,3.66,20191031,19961126,10.79,--  ,--  ,99.18,47.3,7.77,44.47,35.3,6.7,35.29,19.18,7.35,3.81,17.34,42.06,27.8,4.24,0,4.37,3.78,3.33,3.22,16.61,3.79,-1.1,26778,19107,10.93万,0.88,-1.04,1.31,16.31,1.47,1.1,0.308㈢,4.38,0,1.61,1.54,0.35,47.69,   7.03㈢,33.91,10.07,7.91,0.47,2107,639,--  ,--  ,--  
002953,日丰股份,10,43.35,3.94,43.35,--  ,95036,3794,6.25,22.09,40.8,,,,61.54,43.35,38.45,39.41,65.44,383917440,1.01,电气设备,广东,12.43,40.4,42305,52731,0.8,221,0,--  ,13003000,0.74,0,958035,0.43,         18.65亿,         74.60亿,12.02,3502,27,0.0063,1,13.6,135.86,115.03,116.53,22.09,         18.65亿,58.68,0.04,3.53,10,-2.44,2.5,6.25,0,12.74,7.49,20200218,20190509,1.72,--  ,--  ,11.83,9.18,--  ,22.44,9.7,1.11,0.7,2.51,1.32,4.28,3.56,11.3,9.25,0.86,0.01,0.89,0.85,0.85,0.82,3.48,0.01,0.86,18608,2312,10.02万,0,0,7.94,8756.46,6.6,0.3,0.580㈢,5.46,5.46,2.07,2.02,0,77.56,   9.31㈢,18.14,7.61,7.57,0.36,1741,2953,--  ,--  ,--  
002768,国恩股份,10,45,4.09,45,--  ,414329,149,0,23.45,43.88,,,,31.04,45,41.5,40.91,36.48,1823795968,1.43,塑料,山东,8.56,44.02,222713,191616,1.16,15447,0,--  ,39737700,0.77,0.04,69511504,1.77,         79.51亿,        122.06亿,12.02,4397,94,0.0053,4,23.49,56.9,93.88,93.21,35.06,         53.19亿,35.97,0.67,7.26,10,1.44,7.6,2.55,0,8.43,2.4,20191030,20150630,2.71,--  ,--  ,43.3,22.4,1,45.97,31.49,7.38,0.74,19.5,11.05,9.74,9.36,30.57,25.08,2.92,0,2.92,2.52,2.51,2.46,9.45,-3.57,-3.71,14792,7990,35.96万,24.26,30.57,5.45,-34.22,3.99,0.29,0.925㈢,8.26,0,3.45,3.48,-1.32,51.73,  11.20㈢,17.96,9.55,8.21,0.91,2209,2768,--  ,--  ,--  
300765,新诺威,9.99,49.43,4.49,49.43,--  ,141086,302,0,28.22,46.11,,,,32.9,49.43,45.31,44.94,36.19,672799744,1.37,食品,河北,9.17,47.69,69837,71249,0.98,5474,0,--  ,21362800,0.93,0.04,27057982,0.5,         24.72亿,         98.86亿,12.02,3445,41,0.0082,4,21.39,33.02,43.07,38.46,28.22,         24.72亿,32.9,0.65,2.6,9.99,0.82,6.11,7.2,0,9.09,3.88,20200323,20190322,2,--  ,--  ,28.52,24.06,0.09,15.32,19.37,5.7,0.58,4.01,1.24,1.73,11.02,12.57,6.12,3.33,0.18,3.35,2.74,2.73,2.38,9.95,3.15,3.16,24716,2023,10.00万,22.05,1.32,4.11,31.35,7.87,0.31,1.460㈣,12.03,0,5.51,4.98,1.58,84.36,  11.35㈣,51.31,26.49,21.74,0.13,1791,300765,--  ,--  ,--  
603728,鸣志电器,9.98,12.34,1.12,12.34,--  ,91964,367,0,5.23,11.23,,,,27.81,12.34,11.18,11.22,29.95,109453640,3.25,电气设备,上海,10.34,11.9,48087,43877,1.1,14744,0,--  ,429000,0.03,0.16,18194096,1.76,         21.69亿,         51.33亿,10.88,1810,51,0.0029,1,6.56,-6.09,11.27,11.37,6.93,         16.39亿,27.97,1.21,0.09,9.98,-0.36,6.08,9.88,0,10.38,3.91,20191029,20170509,4.16,--  ,--  ,25.86,19.66,0.01,23.93,16.3,2.2,1.14,5.17,3.32,4.22,7.35,15.15,9.4,1.43,0.05,1.43,1.28,1.29,1.17,7.52,1.38,1.98,17372,7644,9.43万,0.79,7.89,2.61,37.17,3.39,0.37,0.309㈢,4.73,0,1.77,1.81,0.33,76.03,   6.54㈢,37.96,9.46,8.48,0.94,3000,603728,--  ,--  ,--  
603557,起步股份,9.97,12.79,1.16,12.79,--  ,197804,16,0,9.04,11.42,,,,29.92,12.79,11.42,11.63,30.1,246528752,1.55,服饰,浙江,11.78,12.46,96689,101115,0.96,40175,0,--  ,2793300,0.18,0.2,51383824,2.19,         28.00亿,         60.66亿,10.88,1328,149,0.0068,2,10.54,36.8,59.08,54.66,14.48,         17.48亿,30.52,0.67,-1.81,9.97,-1.81,7.16,12,0,12,2.81,20191029,20170818,4.74,--  ,--  ,25.84,16.86,-0.01,34.76,19.72,3.85,1.02,7.87,2.99,5.74,5.57,10.61,6.81,1.62,0.1,1.84,1.5,1.51,1.25,6.39,-0.33,-0.09,18261,7483,9.57万,2.46,14.04,3.6,-183.04,5.72,0.34,0.319㈢,3.56,0,1.17,1.35,-0.07,65.28,   8.96㈢,35.86,15.29,14.24,0.23,1610,603557,--  ,--  ,--  
603555,贵人鸟,9.97,4.08,0.37,4.08,--  ,313733,112,0,4.99,3.86,,,,--  ,4.08,3.86,3.71,--  ,125491976,5.68,服饰,福建,5.93,4,152373,161360,0.94,7558,0,--  ,4227500,0.79,0.02,3083664,6.29,         25.65亿,         25.65亿,10.87,2664,118,0.0019,2,18.61,9.97,-37.52,-30.85,22.57,          5.67亿,--  ,1.54,4.04,9.97,4.04,7.82,5.7,0,5.7,2.16,20191030,20140124,6.29,--  ,--  ,48.84,15.33,0.1,68.42,25.23,5.02,2.21,33.04,5.64,14.21,9.19,11.69,7.59,-1.49,-0.01,-1.51,-1.67,-1.66,-2,-3.99,-3.13,-0.21,17804,7807,3.19万,-1134.18,-49.2,1.67,-8.2,2.19,0,-0.264㈢,2.44,0,1.46,-0.63,-0.5,31.38, -10.83㈢,35.06,-12.72,-14.2,0.33,4525,603555,--  ,--  ,--  
