代码,名称,涨幅%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,短期形态,中期形态,长期形态,市盈(TTM),最高,最低,昨收,市盈(动),总金额,量比,细分行业,地区,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,开盘换手Z,封成比,封单额,流通股(亿),流通市值,AB股总市值,强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,市盈(静),贝塔系数,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
002016,世荣兆业,-2.43,6.83,-0.17,6.82,6.83,35493,335,0,0.52,6.89,,,,5.83,6.93,6.77,7,5.53,24276758,0.78,区域地产,广东,2.29,6.84,20907,14586,1.43,659,973,--  ,179100,0.01,--  ,--  ,6.87,         46.91亿,         55.26亿,-0.4,1334,27,0.0004,-1,-3.53,-8.94,-20.76,-21.13,1.69,         14.32亿,7.11,0.67,-1.57,-1,-3.29,-2.29,-0.87,-1.44,0.89,-0.14,20191031,20040708,8.09,--  ,--  ,84.63,30.37,-0.08,64.2,75.8,0.92,0.01,44.31,41.04,0.17,1.35,21.65,6.65,10.04,0.07,10.06,7.49,7.49,7.34,18.15,15.98,9.25,26888,7797,5.33万,30.6,53.43,1.82,3.46,2.55,7.14,0.926㈢,3.75,0,0.17,2.24,1.98,35.89,  24.67㈢,69.27,46.36,34.6,--  ,853,2016,--  ,--  ,--  
000780,平庄能源,-2.43,2.41,-0.06,2.4,2.41,20915,851,-0.4,0.21,2.47,,,,--  ,2.47,2.4,2.47,--  ,5069110,0.62,煤炭开采,内蒙,2.83,2.42,10828,10087,1.07,1112,184,--  ,91400,0.01,--  ,--  ,10.14,         24.44亿,         24.44亿,-0.4,1256,17,0.0002,-3,-4.36,-6.95,-18.58,-19.67,0.53,          9.43亿,--  ,0.72,0,0,-2.83,-1.88,-2.43,-2.43,0.42,-0.55,20200323,19970606,10.14,--  ,--  ,50.02,38.2,--  ,23.62,33.18,6.84,6.33,9.38,0.6,7.87,14.39,15.6,11.81,-1.73,0,-1.75,-1.72,-1.72,-2.49,4.93,-2.59,-5.68,42488,9211,2.22万,-231.46,3.11,0.64,-9.45,1.57,8.1,-0.170㈢,3.77,0,1.42,0.49,-0.25,76.38,  -4.51㈢,24.25,-11.11,-11.05,--  ,8239,780,--  ,--  ,--  
002172,澳洋健康,-2.43,3.21,-0.08,3.2,3.21,167534,2602,-0.3,2.17,3.27,,,,--  ,3.35,3.16,3.29,--  ,54770912,0.66,化纤,江苏,5.78,3.27,94585,72949,1.3,3395,513,--  ,548400,0.04,--  ,--  ,7.73,         24.82亿,         24.93亿,-0.4,1717,98,0.0013,-3,-5.31,-23.2,-14.17,-14.17,3.72,         14.47亿,246.59,0.37,-0.61,1.82,-3.95,-0.63,-1.83,-4.18,1.58,-1.8,20191028,20070921,7.76,--  ,--  ,68.98,15.44,0.19,77.34,27.24,23.41,2.19,43.66,4.58,3.33,11.51,24.22,22.53,-4.24,0,-4.21,-4.32,-2.93,-2.98,-3.77,1.05,-0.51,46498,9695,3.11万,-1272.82,-35.86,1.61,23.69,1.03,0,-0.377㈢,1.99,0,1.48,-0.49,0.14,22.38, -18.95㈢,6.96,-17.53,-12.08,0.2,5040,2172,--  ,--  ,--  
001979,招商蛇口,-2.43,16.43,-0.41,16.43,16.45,87652,980,-0.29,0.11,16.5,,,,11.05,16.77,16.36,16.84,19.15,144512352,0.82,全国地产,深圳,2.43,16.49,39125,48527,0.81,1571,15,--  ,2255600,0,--  ,--  ,79.14,       1300.21亿,       1300.28亿,-0.41,2525,35,0,-3,-4.2,-11.28,-17.31,-17.31,0.31,        463.59亿,8.74,0.73,-2.02,-0.42,-2.85,-2.1,-0.42,-2.03,0.43,-0.34,20191030,20151230,79.14,--  ,--  ,5279.87,762.44,524.87,75.62,4401.25,35.24,5.34,2976.98,2776.34,16.47,138.4,255.43,163.47,77.95,48.19,77.46,58.31,50.93,50.06,433.54,90.88,104.81,65299,43210,70.99万,-38.46,-24.39,1.99,14.31,5.09,4.58,0.600㈢,8.24,8.24,1.75,5.48,1.15,14.44,   6.68㈢,36,30.52,19.94,--  ,24791,1979,--  ,--  ,--  
600664,哈药股份,-2.44,4,-0.1,4,4.01,320073,1950,0,1.28,4.08,,,,95.63,4.12,3.98,4.1,1766.75,129145224,0.61,化学制药,黑龙江,3.41,4.03,181960,138113,1.32,3903,6650,--  ,509200,0.01,--  ,--  ,25.07,        100.28亿,        100.28亿,-1.54,3066,104,0.0004,-3,-5.21,-13.61,8.11,5.54,2.4,         53.35亿,29.7,0,-0.49,0.49,-2.93,-1.59,-1.96,-2.91,0.5,-0.85,20191026,19930629,25.07,--  ,--  ,119.16,52.13,4.74,52.27,67.92,30.66,4.77,57.26,18.52,34.09,6.63,84.64,65.06,1.61,0.95,1.73,0.58,0.04,-0.33,17.98,-1.49,-14.23,103848,12843,5.14万,-98.25,4.45,1.92,-67.32,1.18,0,0.002㈢,2.08,0,0.26,0.72,-0.06,43.75,   0.08㈢,23.14,1.91,0.05,0.87,15396,600664,--  ,--  ,--  
600302,标准股份,-2.44,4,-0.1,4,4.01,22473,244,-0.49,0.65,4.1,,,,--  ,4.1,3.97,4.1,--  ,9019178,0.82,纺织机械,陕西,3.17,4.01,16285,6188,2.63,199,117,--  ,80400,0.01,--  ,--  ,3.46,         13.84亿,         13.84亿,-1.54,606,37,0.0011,-1,-3.38,-2.92,-20,-20.63,1.13,          7.92亿,50,0.97,0,0,-3.17,-2.11,-2.44,-2.44,0.76,-0.33,20191030,20001213,3.46,--  ,--  ,15.61,11.66,0.79,20.29,12.17,1.81,0.32,2.93,5,3.13,3.47,4.19,3.32,-0.75,0.06,-0.74,-0.72,-0.72,-0.82,2.42,-1.04,-1.32,17628,11233,4.49万,-116.81,-19.53,1.19,-13.31,3.31,0,-0.210㈢,3.37,0,1,0.7,-0.3,74.67,  -6.22㈢,20.74,-18.03,-17.31,0.27,1796,600302,--  ,--  ,--  
300592,华凯创意,-2.44,11.2,-0.28,11.2,11.22,57928,1087,1.17,6.09,10.96,,,,126.79,11.38,10.85,11.48,71.45,64310700,0.64,软件服务,湖南,4.62,11.1,33369,24559,1.36,125,10,--  ,1764600,0.21,--  ,--  ,0.95,         10.66亿,         13.71亿,-0.41,1607,36,0.0038,-1,-6.74,5.86,-5.73,-2.86,7.49,          8.66亿,89.53,0.86,-4.53,-0.87,-5.49,-3.29,2.19,-1.58,3.23,0.86,20200121,20170120,1.22,--  ,--  ,11.16,5.19,--  ,53.46,8.78,0.49,0.26,5.43,4.46,2.83,1.7,2.75,1.86,0.17,0,0.18,0.14,0.14,0.09,2.22,-0.1,-0.14,10765,7181,8.04万,-24.27,2.4,2.67,-140.59,4.99,0,0.118㈢,4.2,4.2,1.39,1.81,-0.08,46.54,   2.77㈢,32.5,6.37,5.24,0.08,359,300592,--  ,--  ,--  
300135,宝利国际,-2.44,2.4,-0.06,2.39,2.4,59647,3039,-0.4,0.65,2.43,,,,53.44,2.44,2.38,2.46,42.81,14327554,0.97,化工原料,江苏,2.44,2.4,35691,23956,1.49,707,7301,--  ,58800,0,--  ,--  ,9.22,         22.12亿,         22.12亿,-0.41,725,82,0.0009,-3,-4.39,-9.43,-8.4,-9.43,0.74,         19.38亿,54.66,0.92,-1.22,-0.81,-3.25,-2.36,-1.23,-1.64,0.84,-0.08,20191025,20101026,9.22,--  ,--  ,28.13,12.61,0.03,55.07,19.15,7.14,0.82,13.13,2.25,5.84,0.35,16.85,14.64,0.58,0.27,0.5,0.37,0.39,0.08,2.57,-1.9,-3.26,48189,16755,4.02万,2.49,14.81,1.75,-11.64,1.31,0.41,0.042㈢,1.37,0,0.04,0.28,-0.21,44.82,   3.07㈢,13.11,3.45,2.3,0.5,483,300135,--  ,--  ,--  
603813,原尚股份,-2.44,17.58,-0.44,17.58,17.6,12126,398,0.34,2.56,18.02,,,,25.47,18.15,17.28,18.02,23.87,21382052,1.58,仓储物流,广东,4.83,17.63,7712,4414,1.75,29,103,--  ,180200,0.03,--  ,--  ,0.47,          8.32亿,         15.77亿,-1.54,817,15,0.0031,-1,-0.17,-1.23,-5.12,-7.28,3.58,          5.95亿,29.06,1.07,0,0.72,-4.11,-2.14,-2.44,-3.14,1.74,-0.3,20191107,20170918,0.9,--  ,--  ,8.59,6.55,0.02,23.58,4.41,3.36,0.62,2.02,0,2.91,2.6,7.84,6.7,0.59,0,0.59,0.5,0.5,0.49,2.91,0.41,-0.08,8212,4122,7.25万,18.78,27.65,2.41,38.53,2.01,1.04,0.560㈢,7.3,0,2.9,3.24,0.46,76.22,   7.56㈢,14.52,7.58,6.32,0.13,1033,603813,--  ,--  ,--  
300192,科斯伍德,-2.44,16.78,-0.42,16.78,16.83,111142,1103,1.08,6.45,17.09,,,,70.27,17.48,16.4,17.2,45.13,188437632,1.13,文教休闲,江苏,6.28,16.95,55746,55396,1.01,63,116,--  ,2378200,0.11,--  ,--  ,1.72,         28.92亿,         40.70亿,-0.41,3394,33,0.0019,-1,9.03,2.45,17.1,19.68,8.54,         21.83亿,148.99,0.99,-0.64,1.63,-4.65,-1.43,-1.81,-4,2.32,-1.02,20200302,20110322,2.43,--  ,--  ,16.45,8.03,1.65,41.14,6.92,2.16,0.37,4.18,0.56,1.18,2.01,6.96,3.97,1.57,0.02,1.57,1.35,0.68,0.67,3.27,2.58,0.3,16906,7695,12.91万,86.5,-2.04,4.98,15.8,5.84,0,0.279㈢,3.37,3.37,0.83,1.35,1.06,48.84,   8.42㈢,42.94,22.51,9.71,0.16,2128,300192,--  ,--  ,--  
